ID,Income,Price
1,72100,21800
2,55200,23000
3,58500,12400
4,50700,23400
5,58300,24700
6,23000,5100
7,58700,19200
8,38400,12600
9,63600,19400
10,69500,16900
11,83300,30600
12,50400,20600
13,48200,20100
14,63400,23300
15,57000,21100
16,57400,16200
17,87800,19900
18,61600,19900
19,58500,21700
20,92100,23800
21,50200,8700
22,82600,21000
23,60700,13200
24,59900,26800
25,88300,21900
26,67100,27100
27,68400,22300
28,57000,27700
29,72600,18600
30,59800,19600
31,48400,13100
32,42300,22100
33,64400,19400
34,44300,15200
35,93900,27100
36,58800,14400
37,34000,15300
38,55200,27400
39,77200,25800
40,54400,12800
41,49800,11700
42,37700,15600
43,66300,22400
44,58200,16600
45,70700,25200
46,50100,13300
47,55100,18600
48,65800,23000
49,55300,20600
50,64600,19600
51,18900,13900
52,59800,20300
53,65100,27100
54,96900,26600
55,35000,8100
56,34500,11700
57,21800,15700
58,80900,25100
59,101300,32500
60,54300,15300
61,43900,10300
62,70300,20400
63,72200,15500
64,46500,24000
65,74700,20500
66,72200,28300
67,57400,11800
68,34600,13900
69,78200,21000
70,73900,26600
71,55000,27300
72,49200,13000
73,75600,24600
74,66800,29700
75,70400,19700
76,96400,31300
77,65600,17800
78,42100,14600
79,69100,17000
80,40100,15200
81,70600,17300
82,58300,17700
83,66000,22900
84,67000,23600
85,63200,17200
86,56300,18400
87,38000,12500
88,97000,22100
89,88100,25400
90,78800,29600
91,35800,14100
92,42000,14700
93,70000,26500
94,62200,18300
95,60800,13300
96,63700,24400
97,29000,12900
98,56600,14600
99,45000,15200
100,44000,10900
